,id,title,detail,condition,is_completed,price,location,source,model,model_type,log_price
0,00035af0-d486-4be9-8be2-b1570b31ee81,스토케 유모차,"사용감은 있으나 작동하는데 문제는 없습니다! 발받침, 컵홀더 있어요. 지금 딱 겨울인데 방한커버도 드려요 (실사용 5회미만/ 완전 새거입니다) 신생아나 조금 어린 아가는 등받침 쿠션 있으면 좋을 거예요 뒤집으면 매쉬 소재입니다. 유모차 모빌은 막 깨끗하진 않지만 보고 만지는데 지장 없어요 부엉이 소리는 안나요 원하시면 드리고 필요없으시면 말씀해 주세요! 궁금하신 점 당근톡으로 문의주세요",사용감 적음,True,100000.0,서울특별시,daangn,,,11.51293546492023
1,001e0955-8abc-4b06-ba0a-1530e5d7891c,스토케유모차,"삼성 벽걸이 에어컨 AR06D1150HZ300,000원삼양동·2일 전",,True,65000.0,,daangn,,,11.082157933374816
2,00305b3c-f670-4430-bdbb-c154516a2098,스토케유모차 익스플로리엑스(구성품 포함),"스토케익스플로리엑스 유모차 판매합니다 구성품에 *유모차라이너(듀라론 양면 사계절용) *방풍커버 *매쉬시트 까지 전부 포함이에요 유모차 전문업체에 세탁하여 깨끗하게 사용하였고 바니파파 라이너,매쉬시트,마니또 방풍커버 모두 새상품 구매하여 깨끗이 사용하였습니다 50일 전후로 잠시 사용하였고 산책을 거의 하지 않아 아파트 단지 돌때만 잠시잠시 사용하다가 휴대용 유모차로 넘어가게 되어 처분합니다 아무래도 중고인만큼 예민맘은 피해주세요",새 상품,True,70000.0,부산광역시,daangn,explori,,11.156264806643742
3,004ad797-ed9e-4acb-a51a-eab9b3fdc456,스토케 유모차,스토케 유모차입니다. 사용감은 있지만 깨끗한 편입니다. 구성품 왠만한건 다 있습니다. 가방끈은 불편해서 잘랐습니다. 연락주세요.,사용감 적음,True,50000.0,경기도,daangn,,,10.819798284210286
4,0058a9d5-40e9-4a91-8f18-714423edefcf,신생아 유모차 - 스토케 요요 뉴본팩,"MS 윈도우 10/11 홈·프로 정품 + 오피스 2021 365 202410,900원수정동·2일 전",,True,130000.0,울산광역시,daangn,yoyo,,11.775297421715829
5,005d53e8-6080-4ffe-8351-74f8e2186c5d,스토케 유모차,"스토케 유모차 나눔합니다. 당근한거라 사용감은 많은편이고 세척하셔서 쓰셔야해요. 동네끌고나가기 편하고, 침낭있어서 겨울에 되게따뜻해요. 침낭 지퍼부분이 부서지긴했는데 사용하시는데 지장은 없습니다. 직접 가지고가셔야해요.",사용감 많음,True,100000.0,,daangn,,,11.51293546492023
6,005fd6f2-76c2-4aae-8efa-a0892dd57307,스토케 유모차,영유아시트있습니다 접히는데 약간 뻑뻑해요 당근으로 저렴하게 구매해서 서브용으로 집근처 돌아다닐때만 사용했으며 중고이기에 사용감있습니다 직접 가지러 오셔야해여~,사용감 많음,True,128000.0,대전광역시,daangn,,,11.759793355371237
7,00b750b5-7989-46ce-812f-e2d0c20ec9d8,유모차 스토케 비트 절충형,너무 잘 사용했어요 근데 걸어다닌 이후론 안타네요.. 이사로 인해 빠른 처분 원해요 방풍 커버 포함 고리 2개 컵홀더 포함이에요,,True,40000.0,울산광역시,daangn,beat,절충형,10.59665973278358
8,00c80953-8206-48c1-9e14-2277e11fc2d4,스토케 디럭스 유모차,친구 사용하던 것 받아서 잘 썼습니다. 신생아부터 돌 이전까지 쓰기 좋아요. 병원갈 때 쓰고 사용많이 하진 않았어요. 세탁만 한번 해주시면 됩니다. 컵홀더 부착해놨구요. 유모차 방풍커버와 모기커버 같이 드립니다. 방풍커버 밑에 넣어둔 사진 같이 올립니다. 연식은 오래됐지만 크게 기스나거나 잘 안되는건 없어요. 그래도 예민하신분은 패스해주세요. 부피가 있어서 직거래나 문고리거래 희망합니다. 중고거래다보니 환불불가인 점도 양해 부탁드립니다,사용감 많음,True,50000.0,경기도,daangn,,디럭스,10.819798284210286
9,00d94011-d0c0-4e16-80a5-1b6161318497,스토케 유모차,"핸디 공구 육각렌치 드라이버 자전거 킥보드 휴대용 멀티툴1,000원용담2동·2일 전",,True,90000.0,제주특별자치도,daangn,,,11.407576060361786
